model,fold_auc_mean,fold_auc_std,oof_roc_auc,oof_pr_auc,oof_log_loss,oof_brier_score,total_cv_seconds
Histogram Gradient Boosting,0.8366996951845586,0.026018050474732216,0.83445223650199,0.8769848237332518,0.43421456655582,0.1396137908711806,8.451668800003972
Random Forest,0.8342151286254966,0.029710340139792665,0.833348078129271,0.8805066218136557,0.45836108532935094,0.14705835995844005,14.342664799998602
Logistic Regression,0.8278881263067056,0.028016914056287395,0.8272199140945504,0.8750260386790685,0.4372710040375338,0.14109747154331845,0.7875927000022784
Extra Trees,0.8154788150610767,0.025969931197462104,0.814908576594111,0.8615122130714832,0.507939029833943,0.14905469949624536,27.41547059999357
